Id,Id2,Geography,pop2010,pop2000,pop1990,Change0010,Change9000,PercentChange0010,PercentChange9000,Perc18342010,Perc18342000,RentalV2000,HomeownershipV2000,RentalV2010,HomeownershipV2010
310M100US35620,35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",18897109,18323002,16846046,574107,1476956,3.133258404,8.767374849,23.66284705,23.96185952,4,1.8,6.6,2.1
310M100US31100,31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",12828837,12365627,11273720,463210,1091907,3.745948345,9.685418832,25.38876283,26.6616808,4.7,1.6,6.7,1.8
310M100US16980,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",9461105,9098316,8182076,362789,916240,3.987430201,11.19813602,23.82122384,24.82546221,6.9,0.9,12.1,3.4
310M100US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6371773,5161544,3989294,1210229,1172250,23.44703445,29.38489868,24.33471814,26.9364942,9.2,1.5,13.5,2.3
310M100US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5965343,5687147,5435468,278196,251679,4.891661847,4.630309662,22.98154524,22.57457034,8.3,1.1,11.6,1.5
310M100US26420,26420,"Houston-Sugar Land-Baytown, TX Metro Area",5946800,4715407,3767335,1231393,948072,26.11424634,25.16558788,24.68914374,25.71118463,13.4,1.3,16.2,2.8
310M100US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5582170,4796183,4122914,785987,673269,16.38776085,16.32993072,24.56444358,24.84048253,7,1.5,8.8,2.1
310M100US33100,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",5564635,5007564,4056100,557071,951464,11.12459072,23.45760706,21.77240735,21.92455254,8.8,1.3,10.1,3.5
310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5268860,4247981,3069425,1020879,1178556,24.03209901,38.39663781,23.63735229,27.00174506,9.3,1.7,13.8,3
310M100US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4552402,4391344,4133895,161058,257449,3.667624308,6.227758567,23.99935243,24.56660193,2.7,0.6,6.2,1.2
310M100US41860,41860,"San Francisco-Oakland-Fremont, CA Metro Area",4335391,4123740,3686592,211651,437148,5.132501079,11.85778084,23.86209225,25.31505381,3.1,0,6,1.8
310M100US19820,19820,"Detroit-Warren-Livonia, MI Metro Area",4296250,4452557,4248699,-156307,203858,-3.510499697,4.798127615,20.4240675,22.63171477,8.7,1.1,16.4,2.6
310M100US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4224851,3254821,2588793,970030,666028,29.80286781,25.72735634,24.21749311,23.51717652,7.5,2.1,12.3,4.7
310M100US38060,38060,"Phoenix-Mesa-Glendale, AZ Metro Area",4192887,3251876,2238480,941011,1013396,28.93748101,45.27161288,23.99747477,25.86217925,9.6,1.4,16.3,2.9
