GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
1400000US19001960100,19001960100,"Census Tract 9601, Adair County, Iowa",1318,0,0,0,1318,0
1400000US19001960200,19001960200,"Census Tract 9602, Adair County, Iowa",885,0,0,0,885,0
1400000US19001960300,19001960300,"Census Tract 9603, Adair County, Iowa",1495,0,0,0,1495,0
1400000US19003950100,19003950100,"Census Tract 9501, Adams County, Iowa",855,0,0,0,855,0
1400000US19003950200,19003950200,"Census Tract 9502, Adams County, Iowa",1155,0,0,0,1155,0
1400000US19005960100,19005960100,"Census Tract 9601, Allamakee County, Iowa",1336,0,0,0,1336,0
1400000US19005960200,19005960200,"Census Tract 9602, Allamakee County, Iowa",1169,1,0,1,1168,0
1400000US19005960300,19005960300,"Census Tract 9603, Allamakee County, Iowa",2017,1861,0,1861,156,0
1400000US19005960400,19005960400,"Census Tract 9604, Allamakee County, Iowa",1790,0,0,0,1790,0
1400000US19005960500,19005960500,"Census Tract 9605, Allamakee County, Iowa",1305,0,0,0,1305,0
1400000US19007950100,19007950100,"Census Tract 9501, Appanoose County, Iowa",1321,16,0,16,1305,0
1400000US19007950200,19007950200,"Census Tract 9502, Appanoose County, Iowa",1121,0,0,0,1121,0
1400000US19007950300,19007950300,"Census Tract 9503, Appanoose County, Iowa",1653,1489,0,1489,164,0
1400000US19007950400,19007950400,"Census Tract 9504, Appanoose County, Iowa",1464,1297,0,1297,167,0
1400000US19007950500,19007950500,"Census Tract 9505, Appanoose County, Iowa",1074,0,0,0,1074,0
1400000US19009070100,19009070100,"Census Tract 701, Audubon County, Iowa",940,0,0,0,940,0
1400000US19009070200,19009070200,"Census Tract 702, Audubon County, Iowa",1176,0,0,0,1176,0
1400000US19009070300,19009070300,"Census Tract 703, Audubon County, Iowa",856,0,0,0,856,0
1400000US19011960100,19011960100,"Census Tract 9601, Benton County, Iowa",1166,0,0,0,1166,0
1400000US19011960200,19011960200,"Census Tract 9602, Benton County, Iowa",1407,1,0,1,1406,0
1400000US19011960300,19011960300,"Census Tract 9603, Benton County, Iowa",2346,2191,0,2191,155,0
1400000US19011960400,19011960400,"Census Tract 9604, Benton County, Iowa",1451,0,0,0,1451,0
1400000US19011960500,19011960500,"Census Tract 9605, Benton County, Iowa",2219,0,0,0,2219,0
1400000US19011960600,19011960600,"Census Tract 9606, Benton County, Iowa",1166,0,0,0,1166,0
1400000US19011960700,19011960700,"Census Tract 9607, Benton County, Iowa",1340,0,0,0,1340,0
1400000US19013000100,19013000100,"Census Tract 1, Black Hawk County, Iowa",1090,1090,1090,0,0,0
1400000US19013000200,19013000200,"Census Tract 2, Black Hawk County, Iowa",1288,1288,1288,0,0,0
1400000US19013000300,19013000300,"Census Tract 3, Black Hawk County, Iowa",1555,1555,1555,0,0,0
1400000US19013000400,19013000400,"Census Tract 4, Black Hawk County, Iowa",761,761,761,0,0,0
1400000US19013000500,19013000500,"Census Tract 5, Black Hawk County, Iowa",678,678,678,0,0,0
1400000US19013000700,19013000700,"Census Tract 7, Black Hawk County, Iowa",604,604,604,0,0,0
1400000US19013000800,19013000800,"Census Tract 8, Black Hawk County, Iowa",1660,1625,1625,0,35,0
1400000US19013000900,19013000900,"Census Tract 9, Black Hawk County, Iowa",911,911,911,0,0,0
1400000US19013001000,19013001000,"Census Tract 10, Black Hawk County, Iowa",1580,1580,1580,0,0,0
1400000US19013001100,19013001100,"Census Tract 11, Black Hawk County, Iowa",1212,1212,1212,0,0,0
1400000US19013001200,19013001200,"Census Tract 12, Black Hawk County, Iowa",1098,1098,1098,0,0,0
1400000US19013001301,19013001301,"Census Tract 13.01, Black Hawk County, Iowa",1946,1946,1946,0,0,0
1400000US19013001302,19013001302,"Census Tract 13.02, Black Hawk County, Iowa",1709,1709,1709,0,0,0
1400000US19013001400,19013001400,"Census Tract 14, Black Hawk County, Iowa",1986,1986,1986,0,0,0
1400000US19013001501,19013001501,"Census Tract 15.01, Black Hawk County, Iowa",1515,1515,1515,0,0,0
1400000US19013001502,19013001502,"Census Tract 15.02, Black Hawk County, Iowa",1787,1787,1787,0,0,0
1400000US19013001503,19013001503,"Census Tract 15.03, Black Hawk County, Iowa",1690,1690,1690,0,0,0
1400000US19013001600,19013001600,"Census Tract 16, Black Hawk County, Iowa",1219,1214,1214,0,5,0
1400000US19013001701,19013001701,"Census Tract 17.01, Black Hawk County, Iowa",935,935,935,0,0,0
1400000US19013001702,19013001702,"Census Tract 17.02, Black Hawk County, Iowa",1126,966,966,0,160,0
1400000US19013001800,19013001800,"Census Tract 18, Black Hawk County, Iowa",634,634,634,0,0,0
1400000US19013001900,19013001900,"Census Tract 19, Black Hawk County, Iowa",948,865,865,0,83,0
1400000US19013002000,19013002000,"Census Tract 20, Black Hawk County, Iowa",2331,2204,2204,0,127,0
1400000US19013002200,19013002200,"Census Tract 22, Black Hawk County, Iowa",1958,1958,1958,0,0,0
1400000US19013002301,19013002301,"Census Tract 23.01, Black Hawk County, Iowa",946,946,946,0,0,0
1400000US19013002303,19013002303,"Census Tract 23.03, Black Hawk County, Iowa",524,524,524,0,0,0
1400000US19013002304,19013002304,"Census Tract 23.04, Black Hawk County, Iowa",1098,1098,1098,0,0,0
1400000US19013002400,19013002400,"Census Tract 24, Black Hawk County, Iowa",1912,1912,1912,0,0,0
1400000US19013002500,19013002500,"Census Tract 25, Black Hawk County, Iowa",2584,2584,2584,0,0,0
1400000US19013002601,19013002601,"Census Tract 26.01, Black Hawk County, Iowa",1988,1730,1730,0,258,0
1400000US19013002603,19013002603,"Census Tract 26.03, Black Hawk County, Iowa",3965,3329,3329,0,636,0
1400000US19013002604,19013002604,"Census Tract 26.04, Black Hawk County, Iowa",1812,653,653,0,1159,0
1400000US19013002700,19013002700,"Census Tract 27, Black Hawk County, Iowa",1636,454,454,0,1182,0
1400000US19013002800,19013002800,"Census Tract 28, Black Hawk County, Iowa",1169,0,0,0,1169,0
1400000US19013002901,19013002901,"Census Tract 29.01, Black Hawk County, Iowa",561,473,473,0,88,0
1400000US19013002902,19013002902,"Census Tract 29.02, Black Hawk County, Iowa",1687,360,360,0,1327,0
1400000US19013003001,19013003001,"Census Tract 30.01, Black Hawk County, Iowa",2227,1836,1836,0,391,0
1400000US19013003002,19013003002,"Census Tract 30.02, Black Hawk County, Iowa",1557,801,801,0,756,0
1400000US19015020100,19015020100,"Census Tract 201, Boone County, Iowa",1292,207,115,92,1085,0
1400000US19015020200,19015020200,"Census Tract 202, Boone County, Iowa",1820,1820,0,1820,0,0
1400000US19015020300,19015020300,"Census Tract 203, Boone County, Iowa",3013,3008,0,3008,5,0
1400000US19015020400,19015020400,"Census Tract 204, Boone County, Iowa",1061,1061,0,1061,0,0
1400000US19015020500,19015020500,"Census Tract 205, Boone County, Iowa",2031,0,0,0,2031,0
1400000US19015020600,19015020600,"Census Tract 206, Boone County, Iowa",796,0,0,0,796,0
1400000US19015020700,19015020700,"Census Tract 207, Boone County, Iowa",1743,0,0,0,1743,0
1400000US19017004000,19017004000,"Census Tract 40, Bremer County, Iowa",650,650,0,650,0,0
1400000US19017004100,19017004100,"Census Tract 41, Bremer County, Iowa",1459,1161,0,1161,298,0
1400000US19017004200,19017004200,"Census Tract 42, Bremer County, Iowa",1733,1407,0,1407,326,0
1400000US19017004300,19017004300,"Census Tract 43, Bremer County, Iowa",779,0,0,0,779,0
1400000US19017004400,19017004400,"Census Tract 44, Bremer County, Iowa",1190,0,0,0,1190,0
1400000US19017004500,19017004500,"Census Tract 45, Bremer County, Iowa",1132,0,0,0,1132,0
1400000US19017004600,19017004600,"Census Tract 46, Bremer County, Iowa",2014,0,0,0,2014,0
1400000US19017004700,19017004700,"Census Tract 47, Bremer County, Iowa",958,0,0,0,958,0
1400000US19019950100,19019950100,"Census Tract 9501, Buchanan County, Iowa",1095,0,0,0,1095,0
1400000US19019950200,19019950200,"Census Tract 9502, Buchanan County, Iowa",1579,413,0,413,1166,0
1400000US19019950300,19019950300,"Census Tract 9503, Buchanan County, Iowa",1389,0,0,0,1389,0
1400000US19019950400,19019950400,"Census Tract 9504, Buchanan County, Iowa",1282,939,0,939,343,0
